timestamp_utc,cpu_percent,rss_mib,gpu_index,gpu_memory_used_mib
2026-08-24T14:39:06.687264+00:00,97.90,243.52,,
2026-08-24T14:39:07.688957+00:00,98.80,342.65,,
2026-08-24T14:39:08.690199+00:00,90.90,349.52,,
2026-08-24T14:39:09.691678+00:00,97.90,349.65,,
2026-08-24T14:39:10.693359+00:00,198.70,430.55,,
2026-08-24T14:39:11.695079+00:00,99.80,485.30,,
2026-08-24T14:39:12.696806+00:00,100.80,485.43,,
2026-08-24T14:39:13.698553+00:00,99.80,485.51,,
2026-08-24T14:39:14.700323+00:00,272.50,552.65,,
2026-08-24T14:39:15.702074+00:00,732.70,636.92,,
2026-08-24T14:39:16.703858+00:00,769.60,637.00,,
2026-08-24T14:39:17.705586+00:00,771.70,636.99,,
2026-08-24T14:39:18.707349+00:00,773.60,637.00,,
2026-08-24T14:39:19.709097+00:00,784.60,649.92,,
2026-08-24T14:39:20.710835+00:00,797.60,649.96,,
2026-08-24T14:39:21.712683+00:00,795.50,649.97,,
2026-08-24T14:39:22.714449+00:00,794.60,649.97,,
2026-08-24T14:39:23.716257+00:00,795.60,649.97,,
2026-08-24T14:39:24.718174+00:00,765.50,673.94,,
2026-08-24T14:39:25.720104+00:00,353.30,688.16,,
2026-08-24T14:39:26.722145+00:00,792.40,688.16,,
2026-08-24T14:39:27.724041+00:00,795.50,688.16,,
2026-08-24T14:39:28.725957+00:00,792.50,688.16,,
2026-08-24T14:39:29.727826+00:00,792.50,688.16,,
2026-08-24T14:39:30.729719+00:00,793.50,688.16,,
2026-08-24T14:39:31.731667+00:00,303.40,0.00,,
