timestamp_utc,cpu_percent,rss_mib,gpu_index,gpu_memory_used_mib
2026-08-31T09:25:23.066122+00:00,98.20,507.87,2,4
2026-08-31T09:25:24.281924+00:00,25.80,550.23,2,4
2026-08-31T09:25:25.383021+00:00,79.20,776.38,2,396
2026-08-31T09:25:26.530816+00:00,97.40,886.26,2,488
2026-08-31T09:25:27.682817+00:00,100.40,942.21,2,488
2026-08-31T09:25:28.834881+00:00,99.10,942.21,2,488
2026-08-31T09:25:29.971443+00:00,99.90,942.21,2,488
2026-08-31T09:25:31.122762+00:00,100.10,942.22,2,488
2026-08-31T09:25:32.277961+00:00,100.40,942.22,2,488
2026-08-31T09:25:33.433903+00:00,100.40,942.22,2,488
2026-08-31T09:25:34.587817+00:00,100.30,942.22,2,488
2026-08-31T09:25:35.742658+00:00,99.70,942.23,2,488
2026-08-31T09:25:36.899345+00:00,99.50,942.23,2,488
2026-08-31T09:25:38.047825+00:00,100.10,942.23,2,488
2026-08-31T09:25:39.205130+00:00,100.70,942.23,2,488
2026-08-31T09:25:40.322828+00:00,99.90,942.23,2,488
2026-08-31T09:25:41.453813+00:00,99.90,942.24,2,488
2026-08-31T09:25:42.599250+00:00,100.40,942.24,2,488
2026-08-31T09:25:43.752592+00:00,99.80,942.24,2,488
2026-08-31T09:25:44.907978+00:00,99.70,942.24,2,488
2026-08-31T09:25:46.061101+00:00,100.50,942.24,2,488
2026-08-31T09:25:47.211425+00:00,99.80,942.24,2,488
2026-08-31T09:25:48.364308+00:00,100.10,942.24,2,488
2026-08-31T09:25:49.517775+00:00,99.50,942.24,2,488
2026-08-31T09:25:50.670707+00:00,100.60,942.24,2,488
2026-08-31T09:25:51.825963+00:00,99.70,942.24,2,488
2026-08-31T09:25:52.967938+00:00,100.70,942.24,2,488
2026-08-31T09:25:54.124893+00:00,99.50,942.24,2,488
2026-08-31T09:25:55.272576+00:00,100.10,942.24,2,488
2026-08-31T09:25:56.423302+00:00,99.90,942.24,2,488
2026-08-31T09:25:57.581519+00:00,100.20,942.24,2,488
2026-08-31T09:25:58.711931+00:00,99.80,942.24,2,488
2026-08-31T09:25:59.859407+00:00,99.40,952.55,2,524
2026-08-31T09:26:01.012350+00:00,100.60,1774.52,2,626
2026-08-31T09:26:02.164932+00:00,99.70,2121.39,2,718
2026-08-31T09:26:03.314158+00:00,101.00,2121.73,2,718
2026-08-31T09:26:04.472472+00:00,99.30,2148.39,2,738
2026-08-31T09:26:05.628122+00:00,98.50,2150.18,2,738
2026-08-31T09:26:06.781546+00:00,102.50,2177.55,2,738
2026-08-31T09:26:07.934704+00:00,100.50,2214.72,2,738
2026-08-31T09:26:09.135274+00:00,99.70,2221.48,2,738
2026-08-31T09:26:10.242503+00:00,100.30,2221.48,2,684
