timestamp_utc,cpu_percent,rss_mib,gpu_index,gpu_memory_used_mib
2026-08-24T14:40:54.631973+00:00,98.90,242.93,,
2026-08-24T14:40:55.633227+00:00,99.90,342.67,,
2026-08-24T14:40:56.634206+00:00,193.80,437.96,,
2026-08-24T14:40:57.635612+00:00,187.70,525.47,,
2026-08-24T14:40:58.637280+00:00,705.90,595.37,,
2026-08-24T14:40:59.639036+00:00,789.60,597.59,,
2026-08-24T14:41:00.640714+00:00,793.70,612.13,,
2026-08-24T14:41:01.642340+00:00,793.70,612.19,,
2026-08-24T14:41:02.644200+00:00,794.60,612.19,,
2026-08-24T14:41:03.646240+00:00,701.60,649.20,,
2026-08-24T14:41:04.648192+00:00,545.90,660.61,,
2026-08-24T14:41:05.650198+00:00,793.40,660.62,,
2026-08-24T14:41:06.652279+00:00,792.40,665.65,,
2026-08-24T14:41:07.654319+00:00,349.30,665.66,,
