timestamp_utc,cpu_percent,rss_mib,gpu_index,gpu_memory_used_mib
2026-08-24T16:06:02.157118+00:00,97.70,514.21,0,4
2026-08-24T16:06:03.286446+00:00,24.80,555.23,0,4
2026-08-24T16:06:04.462756+00:00,14.80,577.13,0,4
2026-08-24T16:06:05.629091+00:00,96.30,806.12,0,396
2026-08-24T16:06:06.792625+00:00,95.50,904.59,0,488
2026-08-24T16:06:07.950143+00:00,101.10,1569.09,0,592
2026-08-24T16:06:09.081170+00:00,100.00,1924.45,0,614
2026-08-24T16:06:10.226586+00:00,100.40,2066.34,0,616
2026-08-24T16:06:11.387500+00:00,99.80,2425.35,0,622
2026-08-24T16:06:12.545395+00:00,100.20,2490.71,0,622
2026-08-24T16:06:13.705883+00:00,100.60,2490.72,0,622
2026-08-24T16:06:14.885318+00:00,99.40,2535.02,0,624
2026-08-24T16:06:16.060832+00:00,100.30,2535.21,0,624
2026-08-24T16:06:17.229785+00:00,99.50,2570.42,0,632
2026-08-24T16:06:18.396859+00:00,100.00,2751.22,0,634
2026-08-24T16:06:19.560915+00:00,100.50,2751.86,0,634
2026-08-24T16:06:20.728726+00:00,101.70,2807.25,0,636
2026-08-24T16:06:21.895590+00:00,99.60,2813.61,0,602
