timestamp_utc,cpu_percent,rss_mib,gpu_index,gpu_memory_used_mib
2026-08-24T14:40:28.910091+00:00,97.90,244.45,,
2026-08-24T14:40:29.911361+00:00,100.90,346.98,,
2026-08-24T14:40:30.912790+00:00,198.70,440.51,,
2026-08-24T14:40:31.914458+00:00,197.70,541.51,,
2026-08-24T14:40:32.915704+00:00,767.00,650.44,,
2026-08-24T14:40:33.917376+00:00,797.70,651.04,,
2026-08-24T14:40:34.919071+00:00,787.70,653.68,,
2026-08-24T14:40:35.920808+00:00,789.60,653.71,,
2026-08-24T14:40:36.922457+00:00,790.70,653.77,,
2026-08-24T14:40:37.923493+00:00,790.10,653.77,,
2026-08-24T14:40:38.925319+00:00,695.80,700.97,,
2026-08-24T14:40:39.927155+00:00,305.40,685.93,,
2026-08-24T14:40:40.928995+00:00,783.60,685.93,,
2026-08-24T14:40:41.930821+00:00,783.60,685.93,,
2026-08-24T14:40:42.932589+00:00,784.60,685.93,,
2026-08-24T14:40:43.934465+00:00,187.70,685.95,,
