timestamp_utc,cpu_percent,rss_mib,gpu_index,gpu_memory_used_mib
2026-08-25T04:04:53.381966+00:00,98.90,514.05,0,4
2026-08-25T04:04:54.526043+00:00,27.30,556.98,0,4
2026-08-25T04:04:55.681442+00:00,93.70,790.86,0,396
2026-08-25T04:04:56.848975+00:00,96.10,896.41,0,488
2026-08-25T04:04:58.011866+00:00,99.80,949.93,0,488
2026-08-25T04:04:59.158738+00:00,99.30,949.98,0,488
2026-08-25T04:05:00.313514+00:00,105.70,958.92,0,498
2026-08-25T04:05:01.473442+00:00,100.70,1678.38,0,614
2026-08-25T04:05:02.643902+00:00,100.10,2165.96,0,712
2026-08-25T04:05:03.814844+00:00,100.20,2167.50,0,712
2026-08-25T04:05:04.982697+00:00,99.00,2167.99,0,712
2026-08-25T04:05:06.150775+00:00,102.10,2217.35,0,712
2026-08-25T04:05:07.317470+00:00,100.30,2222.66,0,712
2026-08-25T04:05:08.484878+00:00,100.30,2222.66,0,712
